symptom_id,symptom_name,symptom_group
1,ho,hô hấp
2,ho khan,hô hấp
3,ho có đờm,hô hấp
4,ho kéo dài,hô hấp
5,ho về đêm,hô hấp
6,ho ra máu,hô hấp
7,khó thở,hô hấp
8,thở gấp,hô hấp
9,thở khò khè,hô hấp
10,tức ngực,hô hấp
11,sốt,toàn thân
12,sốt cao,toàn thân
13,sốt nhẹ,toàn thân
14,sốt về chiều,toàn thân
15,sợ lạnh,toàn thân
16,sợ nóng,toàn thân
17,ớn lạnh,toàn thân
18,ra mồ hôi,toàn thân
19,không ra mồ hôi,toàn thân
20,mệt mỏi,toàn thân
21,suy nhược,toàn thân
22,gầy yếu,toàn thân
23,tăng cân,toàn thân
24,sụt cân,toàn thân
25,đau đầu,thần kinh
26,đau đầu dữ dội,thần kinh
27,chóng mặt,thần kinh
28,hoa mắt,thần kinh
29,mất ngủ,thần kinh
30,ngủ kém,thần kinh
31,lo âu,thần kinh
32,căng thẳng,thần kinh
33,hồi hộp,thần kinh
34,dễ cáu gắt,thần kinh
35,đau bụng,tiêu hóa
36,đau bụng âm ỉ,tiêu hóa
37,đau bụng dữ dội,tiêu hóa
38,đầy bụng,tiêu hóa
39,chướng bụng,tiêu hóa
40,ăn kém,tiêu hóa
41,ăn không tiêu,tiêu hóa
42,buồn nôn,tiêu hóa
43,nôn,tiêu hóa
44,nôn ra dịch,tiêu hóa
45,tiêu chảy,tiêu hóa
46,tiêu chảy cấp,tiêu hóa
47,táo bón,tiêu hóa
48,phân lỏng,tiêu hóa
49,phát ban,da
50,ngứa,da
51,ngứa nhiều,da
52,mụn nhọt,da
53,da khô,da
54,da nóng,da
55,da đỏ,da
56,da xanh xao,da
57,rêu lưỡi trắng,lưỡi
58,rêu lưỡi vàng,lưỡi
59,rêu lưỡi dày,lưỡi
60,rêu lưỡi mỏng,lưỡi
61,lưỡi đỏ,lưỡi
62,lưỡi nhạt,lưỡi
63,lưỡi tím,lưỡi
64,lưỡi khô,lưỡi
65,lưỡi ướt,lưỡi
66,mạch phù,mạch
67,mạch trầm,mạch
68,mạch sác,mạch
69,mạch trì,mạch
70,mạch huyền,mạch
71,mạch hoạt,mạch
72,mạch yếu,mạch
73,mạch mạnh,mạch
74,đau lưng,cơ xương
75,đau thắt lưng,cơ xương
76,đau khớp,cơ xương
77,đau khớp gối,cơ xương
78,cứng khớp,cơ xương
79,đau tăng khi lạnh,cơ xương
80,đau giảm khi ấm,cơ xương
81,tiểu ít,tiết niệu
82,tiểu nhiều,tiết niệu
83,tiểu buốt,tiết niệu
84,tiểu đục,tiết niệu
85,tiểu vàng,tiết niệu
86,khát nước,toàn thân
87,không khát,toàn thân
88,miệng khô,toàn thân
89,đắng miệng,toàn thân
90,ăn nhiều,toàn thân
91,mệt sau vận động,toàn thân
92,ra mồ hôi đêm,toàn thân
93,sợ gió,toàn thân
